5 30 11
4 27 11
18 3 11
20 37 10
25 3 9
12 2 7
10 49 8
10 8 11
5 18 11
8 11 12
5 9 8
10 9 11
5 18 11
18 5 18
4 29 11
5 11 16
10 6 8
28 3 11
6 56 13
16 6 11
6 15 11
8 25 12
14 10 11
7 12 8
5 38 13
25 1 15
4 31 9
40 3 9
10 7 11
20 44 9
8 39 13
13 15 8
14 11 11
20 3 8
5 8 7
5 29 11
4 23 8
14 11 11
13 14 18
7 8 8
8 13 10
7 9 8
8 12 18
13 15 8
20 1 9
7 9 9
33 1 11
13 14 18
20 5 11
8 12 18
5 11 16
5 9 16
5 46 11
6 25 16
28 3 11
8 9 11
20 5 9
5 57 13
12 8 16
18 4 9
25 2 8
18 6 9
5 20 11
6 16 8
13 13 8
13 16 8
11 18 12
5 17 16
20 1 18
33 1 8
4 54 11
6 21 9
10 9 11
6 25 16
11 7 11
28 2 11
18 7 11
6 27 16
50 1 8
50 2 11
22 3 9
28 1 5
5 28 11
13 14 18
5 22 11
4 23 8
5 21 11
5 46 11
5 16 16
18 6 13
7 13 8
5 29 11
50 3 12
20 7 9
50 4 12
20 5 11
2147483647 0 11
6 27 8
6 65 11
5 46 11
8 28 12
6 23 11
4 21 11
16 7 12
28 1 5
14 10 11
5 27 8
6 26 8
20 5 8
8 12 18
7 10 9
5 28 11
20 41 9
13 10 10
22 3 11
10 8 11
6 27 8
5 18 11
2147483647 0 12
11 18 12
10 11 11
25 2 8
25 3 11
2147483647 0 11
4 27 11
6 27 11
16 7 8
8 12 11
2147483647 0 9
20 1 9
14 10 11
8 28 12
33 3 11
33 2 11
6 23 16
20 33 13
25 32 18
8 12 11
6 21 9
25 1 16
7 10 11
10 5 9
25 3 11
4 56 13
5 28 11
20 7 9
20 7 9
5 57 13
10 15 11
4 22 11
5 46 13
5 31 9
25 9 8
25 33 7
20 6 11
6 20 9
16 9 12
20 2 11
7 19 11
20 41 13
6 21 9
16 8 12
6 25 8
7 25 8
50 1 8
4 66 8
4 56 13
10 11 11
8 12 18
50 1 11
20 5 8
5 21 9
4 27 11
10 5 11
5 28 11
4 23 8
6 21 11
8 9 7
16 5 11
11 7 11
4 26 8
6 24 8
18 17 9
28 4 11
50 30 15
5 29 9
13 14 18
8 12 18
7 9 8
4 28 11
25 4 18
25 4 11
11 6 12
50 33 8
28 3 9
8 39 13
50 2 11
6 22 9
6 20 9
5 59 11
6 28 8
50 1 9
6 27 8
5 28 11
11 7 11
16 6 11
12 13 8
20 5 9
6 26 8
6 71 8
40 3 11
4 56 13
20 5 12
20 12 9
5 21 11
2147483647 0 11
12 2 11
6 22 11
4 24 11
6 21 9
8 14 11
5 59 11
5 18 11
5 38 16
25 32 13
6 27 8
4 23 8
7 8 8
8 10 11
6 23 9
50 1 9
8 20 9
14 10 11
40 3 9
8 12 18
8 20 9
8 25 12
8 8 7
4 57 13
