1 16
0 0
2 7
0 0
2 10
0 0
2 6
3 10
0 0
0 0
4 8
0 0
4 12
0 0
0 0
0 0
5 7
5 12
0 0
0 0
6 12
6 14
0 0
6 17
0 0
7 15
0 0
8 13
0 0
9 7
10 14
11 10
11 6
0 0
0 0
0 0
12 12
0 0
0 0
0 0
0 0
0 0
13 9
0 0
13 12
0 0
0 0
0 0
0 0
0 0
13 9
0 0
0 0
0 0
0 0
0 0
0 0
13 7
13 20
0 0
0 0
0 0
14 4
14 10
14 10
0 0
15 11
16 6
0 0
17 8
17 9
17 10
18 11
0 0
0 0
0 0
0 0
0 0
0 0
19 12
20 8
0 0
21 12
21 13
22 6
0 0
0 0
22 14
0 0
0 0
0 0
0 0
23 12
0 0
24 18
0 0
0 0
0 0
0 0
0 0
25 10
25 11
0 0
26 7
27 19
28 9
0 0
0 0
29 8
30 10
0 0
0 0
0 0
30 11
0 0
0 0
0 0
30 14
31 6
32 6
32 10
32 9
33 9
33 11
34 7
0 0
35 14
36 11
0 0
0 0
0 0
0 0
0 0
0 0
36 7
0 0
0 0
0 0
0 0
36 7
0 0
37 13
38 7
38 8
38 18
38 8
38 7
38 14
0 0
0 0
39 5
0 0
0 0
0 0
0 0
0 0
39 12
0 0
39 13
0 0
0 0
39 12
40 7
0 0
40 16
41 13
0 0
41 8
41 9
41 9
41 10
41 12
42 13
0 0
0 0
0 0
0 0
42 12
42 8
0 0
43 17
44 11
45 9
0 0
46 8
0 0
0 0
0 0
47 10
0 0
48 5
48 9
49 10
50 10
51 9
0 0
0 0
0 0
0 0
0 0
0 0
51 8
52 10
0 0
0 0
0 0
52 11
0 0
52 3
52 10
0 0
53 13
0 0
0 0
53 10
54 12
0 0
54 10
54 7
55 12
0 0
56 9
0 0
0 0
56 20
57 10
58 18
0 0
59 20
59 11
60 10
60 13
0 0
60 11
60 15
0 0
61 8
61 5
0 0
62 9
63 9
63 6
64 10
0 0
64 10
0 0
65 13
0 0
0 0
65 10
0 0
0 0
0 0
65 9
66 13
0 0
0 0
0 0
67 15
67 8
67 10
67 16
0 0
0 0
67 10
68 10
69 11
70 13
0 0
0 0
70 14
0 0
71 17
71 7
0 0
72 8
72 9
73 9
74 8
0 0
0 0
74 8
75 15
0 0
