0 0
1 7
2 12
2 11
3 8
0 0
0 0
4 10
4 9
0 0
4 11
0 0
5 15
6 10
7 10
0 0
0 0
0 0
7 17
7 8
8 16
9 6
0 0
10 5
0 0
0 0
11 9
11 15
0 0
0 0
0 0
0 0
0 0
11 13
11 12
0 0
12 7
12 8
12 14
0 0
13 3
13 8
0 0
0 0
13 8
0 0
14 7
0 0
15 9
0 0
0 0
0 0
0 0
0 0
0 0
0 0
15 14
16 11
16 12
0 0
0 0
0 0
16 16
16 6
0 0
17 6
17 9
17 8
0 0
18 9
0 0
18 11
19 12
19 15
20 11
0 0
0 0
0 0
0 0
0 0
20 12
20 11
0 0
0 0
0 0
21 11
21 13
0 0
21 9
22 16
0 0
0 0
23 6
0 0
24 10
24 15
24 15
0 0
0 0
25 11
0 0
0 0
25 11
0 0
0 0
26 9
0 0
27 8
0 0
0 0
0 0
28 8
28 8
0 0
0 0
0 0
29 7
30 15
0 0
31 10
0 0
32 16
0 0
32 9
33 9
33 9
34 9
0 0
0 0
