0	13	45	5	[19.611586376598787,9.805793188299393]
1	1	73	4	[15.767912321284449]
2	22	122	2	[]
3	4	20	4	[12.966932981317072]
4	30	9	2	[]
5	2	29	4	[14.090956454619525]
6	4	67	4	[16.03423152893536]
7	31	96	5	[20.390109212842727,10.195054606421364]
8	27	118	2	[]
9	21	122	1	[]
10	17	126	2	[]
11	15	1	5	[20.581836997548262,10.290918498774131]
12	13	96	4	[16.08826489111116]
13	30	65	2	[]
14	33	96	5	[20.367343092002038,10.183671546001019]
15	23	48	4	[12.613878824950936]
16	5	80	4	[15.542007313187288]
17	2	119	2	[]
18	31	12	1	[]
19	33	106	6	[20.007430239078264,10.003715119539132,16.137566491032874]
20	13	97	1	[]
21	26	110	2	[]
22	13	9	4	[14.486792821638712]
23	16	86	4	[15.923694600888403]
24	6	9	5	[20.092122958874757,10.046061479437379]
25	32	65	4	[16.18524800738031]
26	26	41	1	[]
27	31	24	4	[15.00902312053131]
28	29	62	5	[20.506321672251122,10.253160836125561]
29	15	64	3	[19.444173406912842]
30	26	75	1	[]
31	22	34	4	[15.075605776125455]
32	14	97	4	[15.296294397411367]
33	26	43	5	[20.278550555569602,10.139275277784801]
34	8	1	1	[]
35	12	67	1	[]
36	18	115	1	[]
37	33	114	2	[]
38	11	60	1	[]
39	10	122	3	[20.423058046317074]
40	31	32	3	[20.006615784292567]
41	32	88	6	[19.65819146265229,9.829095731326145,15.347153363246878]
42	24	14	6	[20.340620143958496,10.170310071979248,15.601434159081009]
43	4	110	3	[19.658687368859354]
44	6	42	3	[20.003051265761385]
45	27	91	2	[]
46	32	3	6	[19.87737202072998,9.93868601036499,15.851300038845114]
47	33	65	4	[13.943391593148323]
48	29	84	6	[19.84264217744577,9.921321088722886,14.128584814281947]
49	22	52	3	[19.671532310394454]
50	29	33	2	[]
51	2	6	2	[]
52	11	61	4	[13.43172073730246]
53	11	2	5	[19.612161746922183,9.806080873461092]
54	29	0	2	[]
55	18	5	6	[20.172110097044374,10.086055048522187,14.74833531465497]
56	32	39	4	[15.396691404645596]
57	20	46	1	[]
58	1	17	1	[]
59	14	46	2	[]
60	32	32	4	[15.524998713416137]
61	17	121	4	[15.487717083183405]
62	22	105	3	[19.63612907876455]
63	12	114	4	[14.474511143187705]
64	12	92	6	[19.915610392503794,9.957805196251897,16.282352888578796]
65	1	112	4	[13.048399196401112]
66	24	57	6	[19.586554218129717,9.793277109064858,14.997236390040507]
67	17	58	5	[18.951477274010035,9.475738637005017]
68	5	9	6	[20.291685018090252,10.145842509045126,16.370839064705915]
69	17	33	1	[]
70	31	105	1	[]
71	21	14	4	[15.407408222103054]
72	25	24	4	[14.963175892303372]
73	18	75	1	[]
74	28	103	6	[19.570471535400983,9.785235767700492,15.000492178201256]
75	13	75	5	[20.095940028114462,10.047970014057231]
76	7	43	4	[17.210033606336008]
77	19	1	3	[20.037773423921955]
78	8	49	2	[]
79	31	119	6	[20.119402070468063,10.059701035234031,15.21216655318366]
80	13	9	4	[16.903224190246487]
81	19	56	6	[20.218942241468245,10.109471120734122,17.339076315862847]
82	14	4	5	[19.854729395139593,9.927364697569796]
83	25	17	1	[]
84	15	72	1	[]
85	1	2	4	[16.121302104873728]
86	25	107	3	[20.835384024708347]
87	31	124	1	[]
88	12	61	1	[]
89	15	63	4	[14.45614083011046]
90	9	113	3	[20.21547307693219]
91	31	28	4	[14.023655402496528]
92	4	126	1	[]
93	32	49	5	[19.773761611281316,9.886880805640658]
94	21	98	1	[]
95	8	34	5	[18.737730387329403,9.368865193664702]
96	31	42	1	[]
97	14	6	2	[]
98	13	100	6	[20.808099120774155,10.404049560387078,14.63925674577198]
99	23	45	6	[19.540803501331613,9.770401750665807,13.985110572383643]
100	6	94	2	[]
101	8	121	2	[]
102	5	81	1	[]
103	27	123	4	[13.729803266762268]
104	20	75	1	[]
105	28	107	5	[20.10351315980074,10.05175657990037]
106	23	44	6	[20.276593331963834,10.138296665981917,15.822616961384782]
107	15	12	6	[20.045536995211123,10.022768497605561,15.330599122286385]
108	29	100	3	[19.456269761162176]
109	31	51	5	[19.41242588095539,9.706212940477695]
110	14	16	1	[]
111	6	117	1	[]
112	11	73	3	[20.12509544413311]
113	19	50	3	[20.431745214074912]
114	20	36	6	[19.942873622073265,9.971436811036632,15.232529351425182]
115	26	62	6	[19.868317124247273,9.934158562123637,14.547059005110908]
116	21	77	2	[]
117	2	97	5	[20.087912509172874,10.043956254586437]
118	5	124	5	[19.610733607237957,9.805366803618979]
119	7	17	3	[20.305775201552247]
120	32	67	3	[20.920535809774332]
121	31	94	1	[]
122	14	34	6	[18.519329645485637,9.259664822742819,16.52867936794706]
123	21	0	1	[]
124	24	12	5	[20.159823623678477,10.079911811839239]
125	28	102	1	[]
126	9	66	1	[]
127	11	117	5	[20.471343037457785,10.235671518728893]
128	27	78	6	[20.332871349256312,10.166435674628156,13.979155609404424]
129	8	94	4	[14.69133789088308]
130	18	125	4	[14.91972557903422]
131	25	97	2	[]
132	21	93	5	[20.48467387059116,10.24233693529558]
133	15	105	3	[19.334807725923064]
134	25	36	5	[19.34441085285262,9.67220542642631]
135	13	28	2	[]
136	11	98	3	[20.570785546859504]
137	29	57	5	[20.311218543412853,10.155609271706426]
138	9	23	6	[20.3923731281219,10.19618656406095,16.751780519153503]
139	31	9	4	[15.039754714516295]
140	14	43	1	[]
141	10	24	5	[20.634223792831058,10.317111896415529]
142	4	21	1	[]
143	21	59	6	[20.16322736619047,10.081613683095235,16.507036933207605]
144	9	89	6	[19.916696988064558,9.958348494032279,15.288764486599739]
145	32	90	2	[]
146	8	40	4	[13.429508654984899]
147	1	22	5	[19.29227179243537,9.646135896217684]
148	15	117	1	[]
149	29	84	2	[]
150	31	86	2	[]
151	33	79	4	[15.41113453594443]
152	28	116	3	[20.185337523722062]
153	5	46	1	[]
154	29	127	1	[]
155	25	125	6	[20.305601729099614,10.152800864549807,14.739355429414726]
156	6	42	5	[19.789321107513672,9.894660553756836]
157	30	118	2	[]
158	15	103	6	[19.280429508849032,9.640214754424516,13.252232393673177]
159	16	52	5	[20.659469755731916,10.329734877865958]
160	28	74	3	[19.951165722467284]
161	10	24	3	[19.859050644296595]
162	10	75	3	[19.72126982811306]
163	8	44	3	[19.24623983290552]
164	26	23	6	[20.722744029795862,10.361372014897931,14.21307383295999]
165	6	88	4	[17.199618972757776]
166	25	128	2	[]
167	26	84	2	[]
168	10	42	2	[]
169	15	86	3	[20.166901003682465]
170	1	66	2	[]
171	5	77	6	[19.893264216271334,9.946632108135667,16.300137838515102]
172	17	102	6	[20.076248769167513,10.038124384583757,14.81449446532054]
173	2	74	5	[20.47574613044372,10.23787306522186]
174	9	57	3	[19.751517635341692]
175	18	90	4	[15.76885127522381]
176	25	8	1	[]
177	28	29	5	[19.969251150944846,9.984625575472423]
178	22	80	6	[19.9095106702183,9.95475533510915,14.847336294098262]
179	6	47	4	[15.071320923662432]
180	24	24	3	[20.27692165196465]
181	33	12	6	[19.28529839169605,9.642649195848024,15.64995754609095]
182	18	107	3	[19.883369731671966]
183	23	18	5	[19.55665976636694,9.77832988318347]
184	21	69	3	[19.032696201462386]
185	3	82	6	[19.01885711108016,9.50942855554008,14.169846884015513]
186	5	92	5	[19.79520108315356,9.89760054157678]
187	30	127	3	[20.295566974299003]
188	13	21	6	[19.82464382748452,9.91232191374226,15.542523991222959]
189	12	38	6	[20.246336149126417,10.123168074563209,14.82006674580392]
190	22	98	2	[]
191	7	39	5	[20.093880880108877,10.046940440054438]
192	10	91	2	[]
193	4	41	1	[]
194	27	110	6	[20.006502324981742,10.003251162490871,14.245161653582896]
195	9	93	6	[19.405772678715998,9.702886339357999,15.225147897049338]
196	31	18	2	[]
197	21	122	2	[]
198	21	0	6	[20.582927375403163,10.291463687701581,14.68895162706214]
199	17	9	1	[]
200	2	48	3	[19.6828899292252]
201	21	35	3	[19.597743575214526]
202	23	5	3	[20.316381556251237]
203	2	98	4	[14.143295454115199]
204	4	70	2	[]
205	26	107	4	[15.742525680921826]
206	14	16	3	[19.830286124793012]
207	25	126	1	[]
208	11	17	4	[16.076794950748038]
209	29	7	3	[19.978972613974683]
210	21	12	6	[20.422515982463942,10.211257991231971,13.57433122169218]
211	24	40	4	[14.702336440802634]
212	9	70	4	[14.622835773868484]
213	15	31	2	[]
214	32	3	6	[20.14638451925085,10.073192259625426,13.121752637807168]
215	11	93	3	[20.437272603979356]
216	18	39	2	[]
217	26	45	3	[19.21026254234571]
218	28	103	3	[20.545464592126528]
219	29	100	4	[13.892329620417813]
220	33	63	6	[20.26840318536848,10.13420159268424,13.432067250820282]
221	12	72	5	[20.135590291888423,10.067795145944212]
222	10	118	2	[]
223	30	113	5	[20.178410619056265,10.089205309528133]
224	19	101	4	[14.15729360974479]
225	19	63	6	[20.349518138491387,10.174759069245694,13.575087084977934]
226	23	41	6	[19.47929775677253,9.739648878386266,14.46079880487454]
227	6	46	3	[19.869665761899768]
228	25	99	3	[19.6016414550534]
229	21	44	4	[16.738062457243252]
230	21	92	2	[]
231	16	92	2	[]
232	28	104	1	[]
233	31	72	4	[16.114959802688826]
234	12	114	4	[15.886816640173912]
235	17	5	5	[19.16075398426394,9.58037699213197]
236	30	42	3	[19.8352597801914]
237	24	74	5	[20.562631092018467,10.281315546009234]
238	18	90	6	[19.70397112773955,9.851985563869775,14.202479747109823]
239	3	72	3	[20.437563476675493]
240	8	124	3	[19.436027521980236]
241	14	0	6	[20.051258127665477,10.025629063832739,15.909387049157171]
242	11	111	2	[]
243	25	39	6	[20.773683917378015,10.386841958689008,14.588361914865983]
244	15	37	5	[19.39266026030837,9.696330130154186]
245	18	0	1	[]
246	31	83	1	[]
247	4	30	1	[]
248	1	109	5	[20.053905081188965,10.026952540594483]
249	11	88	6	[20.9330364475039,10.46651822375195,16.498852443313705]
250	27	56	5	[20.05044428812416,10.02522214406208]
251	28	62	6	[20.455267851078972,10.227633925539486,14.920019986478927]
252	20	49	4	[14.722337215812185]
253	30	127	5	[20.755665653438133,10.377832826719066]
254	12	5	5	[20.257734058173465,10.128867029086733]
255	23	33	3	[19.951746877803295]
256	25	102	3	[20.170890920171708]
257	30	100	2	[]
258	33	45	1	[]
259	14	117	4	[14.602716208457347]
260	20	62	6	[19.571795628403315,9.785897814201657,13.951335988841617]
261	3	73	2	[]
262	19	61	5	[19.92774562651848,9.96387281325924]
263	21	50	6	[20.4958011992509,10.24790059962545,15.655894988719046]
264	26	2	5	[19.54640504251826,9.77320252125913]
265	11	64	6	[20.04693043187156,10.02346521593578,14.864211019861674]
266	21	77	5	[19.70300444268977,9.851502221344886]
267	2	85	2	[]
268	28	114	6	[20.075287783104635,10.037643891552317,14.46697090519058]
269	15	59	6	[20.159472792279413,10.079736396139706,15.469427973444448]
270	11	2	4	[15.861419074078269]
271	13	53	2	[]
272	2	11	1	[]
