[2, 'equal', 'equal']
[6, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[4, [1, 100.0], 'equal']
[6, 'equal', 'equal']
[6, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[6, [1, 12.5], 'equal']
[4, [1, 20.0], 'equal']
[3, 'equal', 'equal']
[6, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[1, [1, 157.14285714285714], 'equal']
[2, 'equal', 'equal']
[4, [1, 100.0], 'equal']
[4, [1, 92.3076923076923], 'equal']
[4, [1, 63.63636363636363], 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[1, 'equal', 'equal']
[1, 'equal', 'equal']
[4, [1, 212.5], 'equal']
[1, [1, 125.0], 'equal']
[3, 'equal', 'equal']
[6, 'equal', 'equal']
[4, [1, 12.5], 'equal']
[3, 'equal', 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[4, 'equal', 'equal']
[5, [0, 1.1706585286436475], 'equal']
[6, 'equal', 'equal']
[6, [1, 38.46153846153846], 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[1, [1, 81.81818181818181], 'equal']
[5, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[6, [1, 100.0], 'equal']
[5, 'equal', 'equal']
[1, [1, 125.0], 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[6, [1, 200.0], 'equal']
[1, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 46.666666666666664], 'equal']
[5, [0, 1.86588108689514], [0, 1.86588108689514]]
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[1, [1, 69.23076923076923], 'equal']
[1, [1, 21.21212121212121], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[1, [1, 18.181818181818183], 'equal']
[2, 'equal', 'equal']
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[1, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[4, 'equal', 'equal']
[1, [1, 81.81818181818181], 'equal']
[2, 'equal', 'equal']
[1, 'equal', 'equal']
[6, [1, 100.0], 'equal']
[1, [1, 200.0], 'equal']
[1, [1, 12.5], 'equal']
[4, [1, 38.46153846153846], 'equal']
