0	480
1	334
2	848
3	700
4	402
5	792
6	790
7	603
8	513
9	606
10	553
11	515
12	353
13	354
14	576
15	351
16	623
17	357
18	469
19	363
20	400
21	560
22	347
23	318
24	364
25	353
26	2044
27	382
28	381
29	2489
30	2004
31	2711
32	438
33	2859
34	1449
35	414
36	512
37	395
38	498
39	706
40	675
41	744
42	580
43	677
44	472
45	678
46	771
47	675
48	501
49	529
50	711
51	997
52	290
53	403
54	635
55	867
56	613
57	865
58	642
59	421
60	880
61	543
62	504
63	623
64	458
65	452
66	849
67	367
68	446
69	409
70	384
71	914
72	534
73	881
74	552
75	1327
76	1104
77	1948
78	714
79	367
80	355
81	976
82	353
83	839
84	361
85	360
86	372
87	359
88	436
89	256
90	437
91	372
92	351
93	394
94	357
95	381
96	360
97	362
98	372
99	550
100	723
101	504
102	347
103	370
104	401
105	350
106	381
107	451
108	444
109	380
110	381
111	381
112	982
113	534
114	1696
115	482
116	585
117	575
118	481
119	528
120	464
121	512
122	510
123	512
124	512
125	513
126	515
127	432
128	337
129	324
130	324
131	324
132	324
133	324
134	441
135	325
136	591
137	324
138	324
139	322
140	577
141	636
142	746
143	501
144	1276
145	503
146	934
147	662
148	536
149	537
150	932
151	537
152	933
153	931
154	931
155	933
156	304
157	531
158	919
159	930
160	533
161	932
162	528
163	756
164	1258
165	524
166	1529
167	1259
168	554
169	341
170	709
171	707
172	707
173	708
174	708
175	708
176	708
177	347
178	351
179	745
180	653
181	719
182	824
183	468
184	347
185	353
186	498
187	481
188	344
189	367
190	347
191	439
192	352
193	431
194	412
195	347
196	347
197	350
198	357
199	353
200	554
201	564
202	549
203	1079
204	572
205	369
206	461
207	607
208	548
209	737
210	356
211	344
212	1406
213	367
214	367
215	367
216	694
217	368
218	368
219	367
220	405
221	747
222	704
223	723
224	677
225	653
226	1025
227	517
228	523
229	453
230	453
231	453
232	452
233	453
234	450
235	330
236	450
237	1252
238	1296
239	1321
240	385
241	703
242	721
243	800
244	357
245	681
246	1609
247	333
248	463
249	404
250	1366
251	1359
252	1260
253	1261
254	675
255	682
256	723
257	342
258	721
259	581
260	630
261	554
262	723
263	718
264	419
265	471
266	694
267	391
268	1250
269	723
270	721
271	693
272	719
273	721
274	649
275	355
276	399
277	342
278	618
279	283
280	518
281	590
282	472
283	473
Total	177164
