0	553
1	199
2	240
3	651
4	181
5	151
6	165
7	207
8	137
9	371
10	173
11	404
12	273
13	302
14	214
15	242
16	471
17	216
18	195
19	153
20	141
21	234
22	171
23	169
24	187
25	93
26	321
27	164
28	240
29	196
30	280
31	195
32	263
33	242
34	268
35	145
36	377
37	176
38	182
39	194
40	183
41	424
42	549
43	174
44	456
45	200
46	160
47	220
48	225
49	255
50	223
51	429
52	350
53	441
54	417
55	452
56	180
57	187
58	299
59	336
60	318
61	169
62	321
63	209
64	172
65	280
66	181
67	206
68	162
69	257
70	177
71	191
72	367
73	1101
74	1075
75	1101
76	596
77	627
78	484
79	242
80	486
81	367
82	495
83	368
84	484
85	199
86	165
87	162
88	150
89	235
90	234
91	218
92	203
93	234
94	305
95	225
96	218
97	197
98	155
99	398
100	202
101	464
102	226
103	388
104	388
105	191
106	483
107	173
108	168
109	173
110	286
111	157
112	171
113	188
114	321
115	499
116	367
117	317
118	354
119	196
120	219
121	215
122	177
123	132
124	306
125	309
126	267
127	267
128	270
Total	37504
