[4, 'equal', 'equal']
[2, 'equal', 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[1, [1, 154.54545454545453], 'equal']
[4, 'equal', 'equal']
[5, 'equal', 'equal']
[1, [1, 133.33333333333334], 'equal']
[2, 'equal', 'equal']
[6, [1, 150.0], 'equal']
[3, 'equal', 'equal']
[6, [1, 78.57142857142857], 'equal']
[1, [1, 25.0], 'equal']
[6, 'equal', 'equal']
[1, [1, 106.25], 'equal']
[6, 'equal', 'equal']
[3, [0, 0.04042912642135417], 'equal']
[2, 'equal', 'equal']
[1, [1, 12.0], 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[5, [0, 0.27507029674336614], [0, 0.27507029674336614]]
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[4, 'equal', 'equal']
[6, [1, 11.11111111111111], 'equal']
[5, [0, 0.42887004880732366], [0, 0.42887004880732366]]
[4, 'equal', 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[1, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[1, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 150.0], 'equal']
[6, [1, 125.0], 'equal']
[4, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 25.0], 'equal']
[2, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 133.33333333333334], 'equal']
[1, [1, 12.0], 'equal']
[3, 'equal', 'equal']
[1, [1, 83.33333333333333], 'equal']
[6, [1, 33.333333333333336], 'equal']
[3, 'equal', 'equal']
[1, [1, 233.33333333333334], 'equal']
[1, [1, 115.38461538461539], 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[1, [1, 27.272727272727273], 'equal']
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[1, [1, 33.333333333333336], 'equal']
[6, [0, 0.6635176824853917], [0, 0.6635176824853917]]
[3, 'equal', 'equal']
[1, [1, 12.0], 'equal']
[6, [1, 81.81818181818181], 'equal']
[3, 'equal', 'equal']
[1, [1, 600.0], 'equal']
[1, [1, 32.0], 'equal']
[1, [1, 10.0], 'equal']
[1, [1, 12.0], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[4, [1, 127.27272727272727], 'equal']
[1, [1, 66.66666666666667], 'equal']
[5, 'equal', 'equal']
[1, [1, 100.0], 'equal']
[6, [1, 125.0], 'equal']
[1, 'equal', 'equal']
[6, 'equal', 'equal']
[4, 'equal', 'equal']
[4, 'equal', 'equal']
[4, 'equal', 'equal']
[6, [1, 50.0], 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[1, [1, 12.0], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[4, 'equal', 'equal']
[1, 'equal', 'equal']
[5, [0, 0.2569682716752527], 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[1, [1, 180.0], 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[6, [1, 150.0], 'equal']
[6, [1, 50.0], 'equal']
[5, 'equal', 'equal']
[1, 'equal', 'equal']
[2, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[5, [0, 0.39808256706834033], 'equal']
[6, [1, 150.0], 'equal']
[4, [1, 120.0], 'equal']
[5, [0, 1.5946509522291], 'equal']
[4, 'equal', 'equal']
[5, 'equal', 'equal']
[1, 'equal', 'equal']
[6, [1, 33.333333333333336], 'equal']
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[5, [0, 0.5961458047036169], 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[6, [1, 150.0], 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[5, [0, 0.7249597341573834], [0, 0.7249597341573834]]
[6, [1, 150.0], 'equal']
[2, 'equal', 'equal']
[6, 'equal', 'equal']
[6, [0, 0.4243588443304731], [0, 0.4243588443304731]]
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[1, [1, 154.54545454545453], 'equal']
[5, 'equal', 'equal']
[4, [1, 127.27272727272727], 'equal']
[6, [1, 36.36363636363637], 'equal']
[6, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[3, 'equal', 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[4, [1, 55.55555555555556], 'equal']
[4, [1, 400.0], 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[3, [0, 0.4281162569754267], 'equal']
[6, [1, 150.0], 'equal']
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[4, [1, 78.57142857142857], 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[1, [1, 12.0], 'equal']
[3, 'equal', 'equal']
[5, 'equal', 'equal']
[1, [1, 180.0], 'equal']
[1, [1, 40.0], 'equal']
[5, [0, 6.1919879309798596], [0, 6.1919879309798596]]
[4, 'equal', 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[1, [1, 33.333333333333336], 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[6, 'equal', 'equal']
[1, [1, 12.0], 'equal']
[1, [1, 230.0], 'equal']
[6, 'equal', 'equal']
[1, [1, 32.0], 'equal']
[6, [1, 250.0], 'equal']
[6, 'equal', 'equal']
[1, [1, 32.0], 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[4, 'equal', 'equal']
[6, [1, 150.0], 'equal']
[3, 'equal', 'equal']
[4, [1, 27.272727272727273], 'equal']
[6, 'equal', 'equal']
[3, 'equal', 'equal']
[4, 'equal', 'equal']
[4, [1, 120.0], 'equal']
[4, [1, 150.0], 'equal']
[1, [1, 12.0], 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[2, 'equal', 'equal']
[1, [1, 212.5], 'equal']
[5, 'equal', 'equal']
[4, [1, 42.857142857142854], 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[6, [0, 1.0310210850070989], 'equal']
[4, 'equal', 'equal']
[1, [1, 12.0], 'equal']
[1, 'equal', 'equal']
[5, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[1, [1, 32.0], 'equal']
[1, [1, 40.0], 'equal']
[3, 'equal', 'equal']
[1, 'equal', 'equal']
[4, [1, 100.0], 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[2, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[6, 'equal', 'equal']
[4, [1, 212.5], 'equal']
[3, [0, 0.8615041971260772], 'equal']
[3, 'equal', 'equal']
[1, 'equal', 'equal']
[5, [0, 1.7610587364369952], 'equal']
[2, 'equal', 'equal']
[5, 'equal', 'equal']
[6, 'equal', 'equal']
[4, 'equal', 'equal']
[2, 'equal', 'equal']
[3, 'equal', 'equal']
[6, [1, 150.0], 'equal']
[1, 'equal', 'equal']
