50
0	15	50	1
0	9	50	4
0	2	50	6
1	7	50	1
1	32	50	1
2	0	50	6
2	49	50	1
2	25	28	1
3	21	33	7
3	45	33	4
3	6	50	3
3	19	33	2
3	33	33	2
3	29	33	5
3	43	20	8
3	41	50	1
4	49	40	1
4	25	50	1
5	42	50	15
5	11	50	1
6	3	50	3
6	48	33	3
7	1	50	1
7	18	33	1
7	36	33	1
7	16	50	1
7	32	50	1
7	12	50	12
8	40	50	1
8	20	50	1
8	34	50	1
8	24	50	1
8	47	50	1
8	9	25	1
8	22	50	1
8	26	25	1
9	0	50	4
9	8	25	1
9	40	25	1
9	22	50	1
10	12	50	1
10	11	50	1
11	5	50	1
11	10	50	1
11	32	50	12
11	12	50	1
11	14	50	1
11	30	50	5
12	7	50	12
12	10	50	1
12	11	50	1
12	22	20	5
12	14	50	1
13	42	50	15
13	32	50	1
14	11	50	1
14	12	50	1
15	0	50	1
15	24	14	4
16	7	50	1
16	32	50	1
17	41	40	1
17	35	40	5
17	31	28	1
17	48	28	1
17	23	50	1
18	7	33	1
18	32	50	1
19	3	33	2
19	48	50	2
20	8	50	1
20	40	50	1
20	26	33	1
20	22	33	1
21	3	33	7
21	48	50	7
22	8	50	1
22	9	50	1
22	12	20	5
22	20	33	1
22	49	50	4
22	40	50	1
22	26	50	1
22	24	50	1
22	34	33	1
22	47	50	1
22	30	25	1
23	17	50	1
23	41	22	1
24	8	50	1
24	15	14	4
24	22	50	1
24	40	50	1
25	2	28	1
25	4	50	1
25	49	40	1
25	44	50	1
25	38	25	1
25	27	50	1
25	35	40	3
26	8	25	1
26	20	33	1
26	22	50	1
26	40	25	1
26	34	33	1
26	35	50	5
26	47	33	1
26	30	25	1
27	25	50	1
27	49	28	1
28	35	25	1
28	37	50	1
29	3	33	5
29	48	50	5
30	11	50	5
30	22	25	1
30	26	25	1
30	37	50	5
31	17	28	1
31	41	50	1
32	1	50	1
32	7	50	1
32	11	50	12
32	13	50	1
32	16	50	1
32	18	50	1
32	36	50	1
33	3	33	2
33	48	50	2
34	8	50	1
34	22	33	1
34	26	33	1
34	40	50	1
35	17	40	5
35	25	40	3
35	26	50	5
35	28	25	1
35	39	25	1
35	46	50	1
35	37	50	1
36	7	33	1
36	32	50	1
37	28	50	1
37	30	50	5
37	35	50	1
37	39	50	1
37	46	25	1
37	41	50	5
38	25	25	1
38	49	40	1
38	44	50	1
39	35	25	1
39	37	50	1
40	8	50	1
40	9	25	1
40	20	50	1
40	22	50	1
40	24	50	1
40	26	25	1
40	34	50	1
40	47	50	1
41	3	50	1
41	17	40	1
41	23	22	1
41	31	50	1
41	37	50	5
42	5	50	15
42	13	50	15
43	3	20	8
43	48	50	8
44	25	50	1
44	38	50	1
45	3	33	4
45	48	50	4
46	35	50	1
46	37	25	1
47	8	50	1
47	22	50	1
47	26	33	1
47	40	50	1
48	6	33	3
48	17	28	1
48	19	50	2
48	21	50	7
48	29	50	5
48	33	50	2
48	43	50	8
48	45	50	4
49	2	50	1
49	4	40	1
49	22	50	4
49	25	40	1
49	27	28	1
49	38	40	1
