14 27 13
14 37 11
40 2 8
6 22 6
6 23 11
2147483647 0 13
14 49 14
10 51 11
14 58 11
14 20 13
14 9 13
50 1 8
33 3 11
4 24 10
14 58 13
13 60 8
6 23 13
10 18 10
5 14 8
33 8 8
6 31 11
14 57 13
25 2 8
11 59 13
14 83 10
16 18 6
14 35 9
14 84 8
6 22 11
10 8 8
11 34 10
25 3 11
14 11 10
10 15 8
5 16 9
33 2 13
16 6 12
14 11 10
40 3 13
14 43 10
14 51 14
14 27 9
14 55 14
8 9 13
14 12 11
16 8 12
20 8 13
14 11 10
50 3 9
40 3 11
10 6 11
14 27 13
16 8 11
6 16 10
14 42 10
20 5 9
40 2 11
14 56 14
20 24 14
40 2 10
10 49 11
7 24 12
28 9 10
7 20 10
40 5 8
16 6 12
14 85 11
10 4 9
20 20 10
2147483647 0 8
13 61 11
14 12 6
14 43 10
14 18 10
25 5 10
6 21 13
8 29 10
6 21 13
20 8 13
40 3 6
16 9 8
50 4 13
2147483647 0 14
5 23 6
8 21 14
2147483647 0 13
14 38 9
40 3 11
33 5 12
22 3 11
25 2 11
6 22 13
22 21 6
14 51 14
14 28 12
14 11 10
20 8 9
13 7 19
14 38 10
8 14 10
20 3 11
33 3 8
5 27 8
10 20 6
5 23 9
10 6 8
11 6 11
6 17 11
16 5 12
7 26 8
22 18 10
7 24 11
25 3 8
20 34 9
7 24 13
14 61 9
2147483647 0 8
20 10 11
25 5 10
20 3 19
6 20 9
2147483647 0 13
10 49 8
14 27 11
2147483647 0 14
14 57 10
10 5 8
50 1 8
16 9 11
5 22 11
6 20 6
10 8 13
20 37 9
16 8 11
18 4 9
14 12 13
16 18 12
6 32 14
18 11 8
14 87 8
6 28 10
10 6 8
18 3 13
10 44 11
7 19 10
8 19 10
20 22 10
10 7 8
40 10 13
13 17 6
14 11 10
6 14 11
14 49 14
10 10 13
4 24 10
6 21 12
14 62 13
2147483647 0 9
6 14 10
20 3 11
4 24 13
20 10 8
14 28 13
14 61 11
5 23 12
5 29 12
14 44 10
11 88 8
50 3 9
20 51 11
8 14 9
28 15 6
6 19 9
10 7 11
2147483647 0 8
13 16 10
16 9 11
13 8 10
14 9 13
40 2 8
6 25 10
4 26 8
11 7 12
10 37 11
14 12 6
50 1 8
6 22 8
6 18 12
