0	415
1	141
2	166
3	240
4	159
5	143
6	146
7	191
8	239
9	120
10	195
11	258
12	205
13	169
14	268
15	121
16	121
17	230
18	234
19	108
20	275
21	211
22	213
23	214
24	240
25	121
26	261
27	121
28	406
29	147
30	168
31	141
32	418
33	140
34	264
35	404
36	130
37	112
38	211
39	147
40	122
41	176
42	141
43	162
44	251
45	130
46	128
47	514
48	139
49	122
50	126
51	348
52	194
53	293
54	224
55	398
56	225
57	234
58	143
59	226
60	235
61	254
62	239
63	238
64	107
65	183
66	152
67	168
68	236
69	160
70	161
71	139
Total	14781
