0	186
1	169
2	306
3	532
4	228
5	196
6	240
7	189
8	155
9	181
10	227
11	180
12	186
13	268
14	213
15	468
16	475
17	164
18	226
19	158
20	193
21	190
22	158
23	140
24	388
25	342
26	391
27	148
28	148
29	167
30	174
31	120
32	199
33	161
34	143
35	220
36	240
37	151
38	214
39	286
40	208
41	303
42	146
43	145
44	204
45	139
46	156
47	132
48	285
49	290
50	135
51	329
52	328
53	268
54	280
55	342
56	251
57	282
58	126
59	212
60	174
61	327
62	279
63	236
64	278
65	114
66	213
67	193
68	215
69	232
70	479
71	153
72	152
73	152
74	278
75	161
76	248
77	209
78	166
79	288
80	203
81	275
82	250
83	237
84	214
85	204
86	206
87	295
88	186
89	132
90	206
91	231
92	252
93	211
94	159
95	183
96	169
97	131
98	143
99	139
100	140
101	158
102	269
103	268
104	204
105	171
106	122
107	148
108	142
109	213
110	119
111	281
112	196
Total	24685
